I can not answer any questions without proper ID.	沒有適當的身分證明，我沒辦法回答任何問題。
The Star Generator is already set to blow Roger! You had better find someway to get a million miles from the Deltaur and quick!	星辰產生器已經設定好要爆炸了，羅傑！你最好想辦法趕快離代爾它號遠一點，越快越好！
Oh No! Your rotten aim has attracted the attention of one of the patrol guards. You're in for it now!	糟了！你這爛準頭引來了一名巡邏守衛的注意，這下你慘了！
Boy, you're no Marshall Dillon, that's for sure. And you were so close. You'll need to react a little faster be little sharper than that. Well, throw a little bondo into that whole and get back in there.	少來了，你才不是什麼神槍手警長，這點無庸置疑，你只差了那麼一點點而已。下次得反應快一點、機伶一點才行。好啦，先拿補土把那個洞補一補，然後回去繼續幹活吧。
Enter Code:	輸入密碼：
Self Destruct Engaged	自爆程序啟動
Invalid Code Entered	密碼輸入錯誤
Have a nice day	祝你有個美好的一天
You close your eyes in hopes your death will be quick, but, to your surprise, the guards do not notice you. In fact, you think your uniform is that of a higher-ranking Sarien officer worth sucking up to. Cool!	你閉上眼睛，希望死得痛快一點，沒想到守衛根本沒注意到你。看來你這身制服像是哪個階級比較高的沙利安軍官，還讓人想巴結咧。酷！
You hear a strange rumbling sound. Uh, oh. It seems that you didn't make it out in time. Be seeing you.	你聽到一陣奇怪的隆隆聲。糟了，看來你沒能及時逃出去。咱們有緣再見了。
There goes your ride, Roger. Too bad you can't call a taxi.	你的座車就這樣飛了，羅傑。可惜這裡叫不到計程車。
Out of the kindness of our hearts, we're just going to kill you off right now and save you the wait until the ship blows up. Be seeing you.	出於好心，我們決定現在就讓你痛快歸西，省得你在船爆炸前一直等。咱們有緣再見了。
It's an escape pod launch tube minus the escape pod. This presents a serious survival problem.	這是逃生艙的發射管，只不過裡面沒有逃生艙——這下你的存活問題可大了。
There's not much you can do without an escape pod.	沒有逃生艙，你也做不了什麼。
There's nobody here to talk to.	這裡沒有人可以說話。
Exhaust fumes from the escaped pod nauseate you, not to mention the tought that you're doomed.	逃生艙噴出的廢氣讓你反胃，更別提一想到自己死定了就更想吐。
I don't think licking the floor is the answer to your current dilemma.	舔地板應該解決不了你現在的困境吧。
It's definitely some sort of ...thing.	這絕對是某種……東西。
If you knew what it was, you might have a clue what to do with it, but since you don't, you don't.	如果你知道這是什麼，或許就知道該拿它怎麼辦——可惜你不知道，所以你不知道。
Nope. Not voice-activated.	不對，這東西不是語音控制的。
You're really 'way too busy for this, Roger.	羅傑，你現在真的沒空搞這個。
No time for funny messages, get off the ship!	沒空講幹話了，快點離開這艘船！
It's an elevator door.	這是電梯門。
This door is controlled by the elevator, there is nothing you can do to it from here.	這扇門是由電梯控制的，你在這裡對它無能為力。
It doesn't want to talk to you.	它不想理你。
It smells like the many elevator doors you've smelled in the past.	聞起來就跟你以前聞過的一堆電梯門一樣。
It tastes like the many elevator doors you've smelled in the past.	嚐起來就跟你以前聞過的一堆電梯門一樣。
It's the elevator that brought you down here.	這就是把你載下來的那台電梯。
It is not voice activated.	這不是語音控制的。
It smells like the many elevators you've smelled in the past.	聞起來就跟你以前聞過的一堆電梯一樣。
It tastes like the many elevators you've smelled in the past.	嚐起來就跟你以前聞過的一堆電梯一樣。
This must be the captain's personal escape pod!	這一定是艦長的私人逃生艙！
It's too late to do that now.	現在做這個已經太遲了。
The escape pod is not equipped with voice-recognition capability.	這艘逃生艙沒有語音辨識功能。
The ship could blow up in a million fiery pieces while you waste time licking the only thing that can get you off it in one piece!	這艘船隨時可能炸成漫天火花，你卻在這裡浪費時間舔唯一能讓你全身而退的東西！
You're wasting valuable time here.	你在這裡浪費寶貴的時間。
Well, Roger, you did it. You saved the galaxy, received your profession's most noble tribute and got the girl.	好啦，羅傑，你辦到了。你拯救了銀河系，得到了你這一行最崇高的表揚，還抱得美人歸。
Wait a minute - there wasn't any girl! Sorry. Well, you got the mop, anyway. From now on, Xenon's your oyster. All you have to do now is sit back and let the book and movie offers roll in. Who knows - maybe you'll even have a series.	等等——才沒有什麼美人！抱歉啦。不過你好歹拿回了那支拖把。從現在起，整個氙星都是你的天下了。你只要坐著等書約跟電影邀約自己送上門就好。誰知道呢，說不定你還能拍成影集。
And now, as the sun sets on the peaceful blue planet, Xenon, and Roger Wilco's first adventure (yes, I'm afraid there are more), we hope you will remain in your seat long enough to let us express OUR limitless appreciation.	此刻，夕陽緩緩落在這顆祥和的藍色行星氙星上，羅傑·威爾科的第一場冒險也告一段落（沒錯，很遺憾還有更多集在後頭）。我們希望你能在座位上多留一會兒，好讓我們表達由衷無盡的感謝。
Whew! You're off the Deltaur and safe at last. You can't ignore, however, a nagging feeling that you've forgotten something important. Now what could that be?	呼，你總算離開代爾它號，安全脫身了。不過你心裡總覺得好像忘了什麼重要的事，揮之不去。到底是什麼呢？
We hate to tell you this, but your dead again. At this rate you'll never see the end of the game.	很不想這樣說，但你又死了。這樣下去，你永遠看不到遊戲結局。
While you sit back and relax, soaking in the distant view as you excitedly approach Xenon, you have the uneasy feeling that you might have forgotten something.	你坐著放輕鬆，欣賞遠方的風景，興奮地接近氙星，心裡卻隱約覺得自己好像忘了什麼。
Congratulations. You did a great job - to a point. That is, if you overlook the fact that you forgot to set the self-destruct seqeunce on the Star Generator leaving it ready for the Sariens to use against Xenon and the rest of the universe. Nice try.	恭喜你，表現得不錯——只不過差了那麼一點：你忘了設定星辰產生器的自爆程序，讓沙利安人還能拿它去對付氙星跟宇宙其他地方。算你厲害。
Somebody wasted the CRT.	有人把這台CRT螢幕給砸爛了。
This is the Data Cartridge Retrieval System.	這是資料匣讀取系統。
Cartridge viewing on this system has been rendered impossible.	這套系統上的資料匣顯示功能，現在沒辦法用了。
Please enter a Cartridge Code Sequence before pressing "ENTER".	請先輸入資料匣代碼，再按下「ENTER」。
Cartridge found. Now retrieving.	找到資料匣了，正在讀取中。
That cartridge is currently out on loan. Please try again later.	那個資料匣目前外借中，請稍後再試。
Sorry, that cartridge is reserved. Please check again later.	抱歉，那個資料匣已經被預約了，請稍後再查詢。
Sorry, that cartridge was destroyed in a freak fusion accident. Check back with us in a few months. Purchasing should have a new one in by then.	抱歉，那個資料匣在一次離奇的核融合意外中被毀了。請過幾個月再來看看，到時候採購部應該會補到新的。
Ken took that one home. That means we'll never get it back, so don't bother checking back later.	肯把那個帶回家了，代表我們永遠拿不回來了，所以不用麻煩之後再回來查。
Cartridge title not found.	查無此資料匣名稱。
These buttons don't seem to be functioning properly.	這些按鈕好像運作不太正常。
"Howdy, bucko! Can I interest you in one of the finest little used space ships in the galaxy? You look like a man of discerning taste. This one, for instance, is just your speed... er... style, that is!"	「哈囉啊，兄弟！有沒有興趣看看銀河系裡數一數二的二手太空船啊？你這人一看就很有品味。就拿這台來說吧，簡直就是為你的速度……呃，我是說風格量身打造的！」
Oops, sorry, chief. I forgot, you've already purchased that ship. What was I thinking of?	「唉唷，抱歉啦老大。我都忘了你已經買過那艘船了，我在想什麼啊？」
Well, we're back for another look at this fine, fine, piece of jun... uh... spaceware. Right, chief?	「好啊，又回來看看這艘精緻無比的破……呃，太空好貨了，對吧，老大？」
"This is quite a unique little unit. Never been flown over Mach 3. It was owned by a little old lady from Glansadrom. You have to fly it to believe it. And she can be yours for only 99 buckazoids. One time offer only. TALK to me, friend!"	「這台可是獨一無二的寶貝，從沒飛超過三馬赫。之前的主人是格蘭薩德隆的一位小老太太。你得親自開開看才會相信。而且只要99枚太空幣就能帶她回家，機會只有這一次。跟我談談吧，朋友！」
"So how 'bout it, partner? Can I interest you in anything here? Can we do business, or what? I'm at your service. Talk to me, chief."	「那怎麼樣啊，夥伴？這邊有沒有什麼合你意的？咱們談得成生意嗎？我隨時候教。跟我聊聊吧，老大。」
"Hey, fella, waitup! S'long as you're headed in that direction, why don'tcha let me show you my other fine spacecraft? No obligation whatsoever to you, pal. Just tryin' to be helpful to one in need."	「嘿，老兄，等一下！你反正也是往那邊走，何不讓我帶你看看我另一艘好貨呢？完全不強迫你，兄弟，我只是想幫幫需要的人。」
"It's been a heckuva pleasure doin' business with you. Well, good luck. Come again!"	「跟你做生意真是一大樂事啊。祝你好運，歡迎再來！」
"Well, geez, guy! It seems it's developed some minor malfunction since we acquired it. We did have a small micro-meteoroid shower the other day. Maybe that was it! Yeah, that was probably it."	「哎呀，老兄！看樣子這台自從我們收進來以後出了點小狀況。前幾天是有一場小型微隕石雨啦，說不定就是那個造成的！對，八成就是那樣。」
"Much as I'd like to, I can't refund your money. Company policy. It's out of my hands. However, I can give you seventy buckazoids credit on any other ship in our fine line of used spacecraft. Look around, see what you like."	「我也很想幫你，但沒辦法退錢，公司規定，我也無能為力。不過我可以給你70枚太空幣的折抵額度，換購我們其他任何一艘優質二手太空船。四處看看，挑個喜歡的吧。」
Say, pal - I couldn't help noticing your skimmer. It's a genuine '86 Pleiades GL. I've been looking everywhere for one of these babies.	話說啊，朋友——我忍不住注意到你那台沙漠飛車，這可是貨真價實的86年昴宿星GL型耶。我到處在找這種寶貝呢。
"Fine. Be that way."	「好啊，隨便你。」
"Glad we could do business. I'll just take that key. Thank you kindly. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。鑰匙就給我吧，謝啦。祝你在尤倫斯荒原玩得愉快。」
"Glad we could do business. Hope your stay in Ulence Flats is an interesting one."	「很高興能跟你做成生意。祝你在尤倫斯荒原玩得愉快。」
"Okay, buddy - you drive a hard bargain. This is my final offer and I'm only making it 'cause I can see you need it pretty bad."	「好吧，兄弟——你還真會殺價。這是我的最後一次開價，我肯開這個價，是因為看得出來你真的很需要。」
"I'll make it 30 buckazoids and I'll throw in this swell jetpack. It was previously owned by a little old Thark who only flew it back and forth to Phleebhut on Sunday. It works great in zero gravity. You'll love it."	「這樣吧，30枚太空幣，再送你這具超讚的噴射背包。之前的主人是個塔克族的老先生，禮拜天才會飛去弗利布特來回一趟而已。零重力下好用得很，你一定會愛上它。」
"Glad we could do business. I'll just take that key. Thank you kindly."	「很高興能跟你做成生意。鑰匙給我吧，謝啦。」
"Glad we could do business."	「很高興能跟你做成生意。」
"In addition, I'd like you to have these coupons good for discounts and free merchandise from some of our local merchants. As a representative of the Ulence Flats Chamber of Commerce, I hope you enjoy your visit to our friendly little community."	「另外，這幾張折價券送給你，可以在我們當地一些店家換折扣或免費商品。身為尤倫斯荒原商會的一份子，希望你喜歡這個友善的小地方。」
"Say there, pal. It's come to my attention that you're in the market for some transportation."	「嘿，朋友。我聽說你正在找代步工具啊。」
"I may be able to help. If you'll follow me, I'd like to show you a fine little piece of machinery that'll knock your eyes out."	「說不定我能幫上忙。跟我來，我帶你看一台會讓你嚇到說不出話的好機器。」
Hold on Mac, I'll get to you when I can.	等一下啊老兄，我一有空就馬上招呼你。
I'm busy, wait your turn.	我現在很忙，排隊等一下。
I'll get to you in just a sec.	馬上就輪到你了。
Here is your 5 buckazoids and your free beer.	這是你的5枚太空幣，還有你的免費啤酒。
C'mon, bud. If you haven't got the money, hit the sand.	拜託喔，兄弟。沒錢就滾去外面吹沙子吧。
"Now, just take a gander at these beauties, sport. If ya see one ya like, just give a hoot. I'll stand right over here. No pressure. Absolutely none."	「來，瞧瞧這些寶貝，小伙子。看到喜歡的就吭一聲，我就站在這邊，完全不會給你壓力，一點都不會。」
"So how 'bout it partner? Can I interest you in anything here?"	「那怎麼樣啊，夥伴？這邊有沒有什麼合你意的？」
"Can we do business, or what? I'm at your service."	「咱們談得成生意嗎？我隨時候教。」
"I'd really like to help you out, bud. Just give me a chance to treat you right!"	「我真的很想幫你一把，兄弟。給我個機會好好照顧你！」
"My sole purpose in life is to make you happy."	「我這輩子唯一的目標，就是讓你開心。」
"Have I mentioned that I have another party or two who are ready to deal? Not that I'm pressuring you or anything, partner. Just so you know.	「我有跟你提過還有一兩組人也準備要下手了嗎？我不是在給你壓力啦，夥伴，只是讓你知道一下。
Hey, wait a sec, sport. Follow me and I'll show you the greatest ship you've ever seen. Truly unique! You'll be the envy of all your friends. The girls'll love it.	嘿，等一下，小伙子。跟我來，我帶你看你這輩子見過最棒的船。獨一無二！你朋友看了都會眼紅，馬子也會愛死它。
"Don't let appearances fool ya. This baby may be a relic, I mean, a classic, but she's as dependable as the day we got her. And just think, you'll be the only one in the quadrant with one. I guarantee it!"	「別被外表騙了。這寶貝雖然有點年紀，我是說，算是經典款啦，但她可靠得跟我們剛拿到她那天一模一樣。你想想看，整個星區就你有這一台，我掛保證！」
She's a beaut, isn't she? This little baby can do a spin around the planet in just under an hour. Look at the lines in that body work. They just don't make 'em like this any more, ya' know what I mean? And she's a real bargain at 185 buckazoids.	她很漂亮吧？這小妞繞行星一圈不用一個鐘頭。你看看那車身線條，現在已經沒人做得出這種貨色了，你懂我意思吧？才185枚太空幣，真的划算。
Of course, minus your 70 buckazoid credit, that would come to 115 buckazoids.	當然啦，扣掉你的70枚太空幣折抵額度，就是115枚太空幣。
"Well, there's a man with a good eye. This here is the keenest little scrambler in the hemisphere. Top of the line. Handles like a charm. Perfect for cruising the asteroid fields."	「唷，真有眼光啊。這台可是這半球裡數一數二犀利的飛船，頂級規格，操控起來順到不行，最適合在小行星帶裡巡航了。」
"And she's got all the thrust a guy could need. I tell ya, she's an outright steal at 214 buckazoids."	「她的推力更是應有盡有。老實跟你說，214枚太空幣根本是白撿的價錢。」
Of course, minus your 70 buckazoid credit, that would come to, uh... 144 buckazoids.	當然啦，扣掉你的70枚太空幣折抵額度，那就是……呃，144枚太空幣。
"It's been a heckuva pleasure doin' business with you. It's a good thing you've already got a pilot droid, 'cause you need one to help you fly that thing. Well, good luck. Come again."	「跟你做生意真是一大樂事。還好你已經有導航機器人了，因為你需要一台才能開得動那玩意兒。祝你好運，歡迎再來。」
"It's been a heckuva pleasure doin' business with you. Oh, by the way, you're gonna need a droid to help you fly that thing. Well, good luck. Come again."	「跟你做生意真是一大樂事。對了，你會需要一台機器人才能幫你開那玩意兒。祝你好運，歡迎再來。」
"I still have that other, fine ship just to the south of here. Whad'ya say, sport, shall we go give her another look-see?"	「我南邊那邊還有另一艘好船呢。怎麼樣，小伙子，要不要再去瞧一瞧？」
"So, what are ya tryin' to pull? If you don't have the cash you can hit the sand. Go on, get out of here. You're wasting my time!"	「你到底想幹嘛啊？沒錢就滾去外面吹沙子吧。走啦，別在這裡浪費我的時間！」
"I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems don't hesitate to come back and tell us about 'em."	「老實跟你說，我覺得你這個決定很明智。她漂亮得很，鑰匙就插在裡面。有什麼問題儘管回來跟我們說一聲。」
