 uniform	制服
"Directions - To use, simply drink from nozzle. Metered amounts will be dispensed.     Caution - Do not attempt to open or rupture! Misuse could result in personal injury and/or flash flooding."	「使用方法——直接從噴嘴喝即可，會自動控制份量。 注意——請勿嘗試打開或弄破本罐！誤用可能導致人身傷害，及∕或瞬間淹水。」
Come to your senses, %s1. That couldn't help you at this time.	清醒一點，%s1。那現在幫不了你。
The regulator is just a curved, metal tube which mixes air with the can's contents and directs it to the nozzle.	這個調節器只是一根彎曲的金屬管，負責把空氣跟罐內的東西混合，再送到噴嘴去。
The nozzle is a flexible tube which senses suction and releases the water.	這個噴嘴是一根軟管，能感應吸力並釋放出水。
You just had a drink. You'd better ration your supply. This place is hot!	你剛喝過了。存量最好省著點用，這裡熱得很！
Sorry. Can't see an object right now. Try later.	抱歉，現在看不到這個東西，晚點再試試看。
There is no need to do that now.	現在不需要這麼做。
It wouldn't help to wear it since there is gravity here.	這裡有重力，穿上也沒用。
For more information refer to coupons enclosed in package.	詳情請參閱包裝內附的折價券。
Hello, %s1. I've been expecting you. You're obviously a person of dubious taste. Drop me a line at Sierra and let me know if you've enjoyed playing.	哈囉，%s1。我一直在等你。看得出來你的品味挺特別的。玩得開心的話，順便寫封信到 Sierra 跟我說一聲。
Sorry. This game is in a NO JUMPING zone.	抱歉，這款遊戲是「禁止亂跳」區。
You can't run.	你不能用跑的。
Don't be ridiculous!	別鬧了！
You raise the Orat part to your mouth and attempt to feast on it. Unfortunately for you it is composed mainly of bone. The small amount of flesh still clinging to the bone is incredibly rancid in flavor. You wisely give up on this idea.	你把那塊歐拉特的殘塊送到嘴邊，想飽餐一頓。可惜這玩意兒幾乎全是骨頭，黏在骨頭上那一丁點肉更是臭得要命。你很明智地打消了這個念頭。
You've already had your nap!	你已經睡過午覺了！
You talk to the sprawled corpse. Strangely, you get no response.	你對著倒在地上的屍體說話。說也奇怪，完全沒有回應。
Good grief, %s1! %m4a bit twisted, I must say.	我的天啊，%s1！%m4還真有點變態，不得不說。
There is no need to do that. Just drink from the nozzle.	不需要這麼做，直接從噴嘴喝就好。
That doesn't seem to be the correct action in this case.	這種情況下，這樣做好像不太對。
You stare into the semi-clear liquid and notice how it gives everything seen through it a lovely yellow tint.	你盯著這半透明的液體，發現透過它看東西，都會染上一層好看的黃色。
You possess %v124 buckazoid(s).	你有 %v124 枚太空幣。
%m7seem to be in your sight now.	%m7現在似乎都不在你的視線範圍內。
%m7appear to be here to view.	%m7好像沒有什麼好看的。
Are you sure you want to look at that?	你確定要看那個嗎？
%m7seem to be available at this time.	%m7現在似乎都用不到。
There is nothing here by that name which can be acquired.	這裡沒有那個名字的東西可以拿。
You can't obtain that here.	你在這裡拿不到那個。
Your legs will take you where you want to go (in most cases, anyway).	你的雙腿會帶你去想去的地方（大多時候啦）。
That's not the way to get there.	那樣去不了那裡。
That is not currently one of your options.	那現在不是你的選項之一。
How would you like to do that?	你想怎麼做？
That act would lack any serious gratification.	做這件事不會有什麼成就感。
You possess nothing that would help you accomplish this.	你身上沒有能幫你完成這件事的東西。
You can't find something you didn't lose.	你沒弄丟的東西，是找不到的。
You press the button on the remote control but notice nothing different.	你按下遙控器上的按鈕，但沒發現有什麼不一樣。
You learn nothing new through this act.	這麼做你什麼新東西都學不到。
%m8your request.	%m8你的要求。
%m7compute.	%m7完全兜不起來。
Say What?	你說什麼？
%m4currently wearing it.	%m4現在正穿著它。
You'll have to go there to do that.	你得先過去那裡才能這麼做。
You see a%m3 clad in red battle gear. You'd better hope it doesn't see you.	你看到一個穿著紅色戰鬥裝的%m3。你最好祈禱牠沒看到你。
There is no one else here.	這裡沒有別人了。
%m4already in possession of the card.	%m4已經拿到那張卡了。
Reaching into the pocket of the%m3%m2 you find a%m3 ID card.	你伸手探進%m3%m2的口袋，找到一張%m3識別卡。
You see no one of interest.	你沒看到什麼值得注意的人。
The Keycard or the I.D. card?	是磁卡，還是識別卡？
You don't seem to have that.	你好像沒有那個東西。
I'll bet you wish you still had that dehydrated water.	你現在一定很希望手上還有那罐濃縮水吧。
%m4very much in need of water now. Your future will be a thing of the past without it.	%m4現在非常需要水。沒有水，你大概沒有未來可言了。
You're dead, %s1. You have died of dehydration. Within a few hours, your gaunt corpse will have dried to a crisp, your powdered remains evenly distributed across the parched terrain by a searing gust.	你死了，%s1。你因脫水而死。用不了幾個小時，你乾癟的屍體就會曬成一片硬殼，一陣灼熱的風一吹，粉狀的殘骸就均勻灑滿這片乾裂的荒地。
F6 to fire Pulseray	按 F6 發射雷射槍
Searching your pocket you find $%v124.	你摸了摸口袋，找到 $%v124。
In the pocket of this%m2 is an alien %m5card. The name on the card is Butston Freem. You wonder if this is a common%m3 name.	%m2的口袋裡有一張外星%m5卡，卡片上的名字是 Butston Freem。你很好奇，這是不是%m3常見的姓名。
There is an alien %m5card there.	那裡有一張外星%m5卡。
The heat is causing you to develop quite a thirst. A drink of water would certainly be most pleasant.	這股熱氣讓你渴得很。喝口水一定很舒服。
Sorry, you'll have to go back into the bar to do that.	抱歉，你得先回到酒吧裡才能這麼做。
Just lost your buckazoid object.	你把太空幣弄丟了。
Controller     <Ctrl J>	搖桿控制     <Ctrl J>
About SQ	關於 SQ
Help    	                 說明
File	檔案
Save     <F5>	存檔     <F5>
Restore  <F7>	讀檔  <F7>
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	離開  <Alt-Z>
Action	動作
See Object  <F4>	查看物品  <F4>
Inventory  <Tab>	物品欄  <Tab>
Special	特殊
Sound On/Off      <F2>	音效開關  <F2>
Graphics Mode <Ctrl R>	圖形模式 <Ctrl R>
Joystick      <Ctrl J>	搖桿  <Ctrl J>
Pause            <Esc>	暫停  <Esc>
Speed	速度
Normal 	普通 
Slow   	慢速   
Fast   	快速   
Fastest	最快
Space Quest was designed and created by Mark Crowe and Scott Murphy.	《宇宙傳奇》由 Mark Crowe 與 Scott Murphy 設計製作。
This is the Arcada's data archive.  Many volumes of information are stored on data cartridges.  There is a computer console here.	這裡是阿寇達號的資料庫。大量情報都存放在資料匣裡，這裡還有一台電腦主機。
This is a data storage cartridge.  On it are the words "Astral Body Formation: The Untold Story."	這是一個資料儲存匣，上面寫著「Astral Body Formation：不為人知的故事」。
The console consists of a screen, keyboard, and cartridge slot.  Atop it rests a Model DX Cartridge Retrieval Unit.	這台主機由螢幕、鍵盤與資料匣插槽組成，上面擺著一台 DX 型資料匣擷取裝置。
The screen says "Type the word `find` followed by the first name of the desired cartridge title."	螢幕上寫著：「請輸入單字 find，後面接上你要找的資料匣標題的第一個字。」
The keyboard has the usual keys found on a Xenon keyboard.  Above it are the words "Arcada Data Archive."	這副鍵盤跟氙星鍵盤沒兩樣，上方寫著「阿寇達號資料庫」幾個字。
You can't see it well from here.	你在這裡看不清楚。
You are suddenly startled by the sound of the ship's alarm coming from the hallway.	走廊傳來一陣警報聲，把你嚇了一跳。
The door opens and a man you recognize as one of the lab scientists enters.  He appears to be injured!	門打開了，一名你認得是實驗室科學家的男子走了進來。他看起來受傷了！
After only a few steps he slumps to the floor.	他才走沒幾步，就整個人癱倒在地上。
A large laser hole has been burned in his uniform through which you can see previously unexposed tissue.  Struggling painfully, he raises up on one elbow.	他的制服上被燒出一個大洞，露出裡面沒見過光的皮肉。他痛苦地掙扎，勉強用一隻手肘撐起身體。
He tells you the Arcada is under attack and that the Star Generator is in danger. You had better leave if you value your life.	他告訴你阿寇達號正遭受攻擊，星辰產生器也身陷危險。他勸你如果還想活命，最好快點離開。
He looks over toward the shelves full of cartridges and utters the words "astral body".  He then settles to the floor, lifeless.	他看向那一整排堆滿資料匣的架子，喃喃吐出「astral body」這幾個字，接著便倒地不起，沒了氣息。
Sorry, no title available by that name.	抱歉，查無此名稱的資料匣標題。
Looking at the wall you see shelves full of data cartridges which can only be removed by the retrieval unit.	你看向牆上，架子上擺滿了資料匣，只能靠擷取裝置才能取出。
The table is used for holding things above the floor.	這張桌子的用途，就是讓東西不必放在地上。
He certainly looks dead.  Do you get off on checking out stiffs?	他看起來的確死透了。你是很愛檢查屍體嗎？
Welcome to the	歡迎來到
Arcada Data Archive	阿寇達號資料庫
Model DX Storage and Retrieval System	DX 型儲存擷取系統
To select a cartridge enter the title	如欲選擇資料匣，
below.	請於下方輸入標題。
(Title Catalog available with Top	（完整片單僅限持有最高
Security Clearance only)	安全許可權限者查閱）
Title : 	標題： 
Searching ...	搜尋中……
Title Found. . .Retrieving	找到標題……擷取中
Title Not Available	查無此標題
Press <Enter> to quit	按 <Enter> 離開
It looks much like many other chairs you have seen in your lifetime.	這張椅子跟你這輩子看過的椅子沒什麼兩樣。
You don't have time to be sitting around.	你可沒空坐在這裡發呆。
You can't do that from here.	你在這裡做不了那件事。
There is no time for that. The alien attackers are on their way.	沒空做那種事，外星攻擊者已經在路上了。
He won't be needing it anymore.	他已經用不到那個了。
It's a grisly sight. There is nothing you can do for him now.	畫面實在慘不忍睹，你現在也幫不上他什麼忙了。
Pressing the keys seems to have no effect since you don't see the screen.	你根本看不到螢幕，按按鍵好像也沒什麼用。
That can't be done right now.	現在辦不到。
You don't have one of those.	你身上沒有那個東西。
Your search of the damaged body's pockets nets. . .	你搜索這具傷痕累累的屍體口袋，找到……
only some heat-fused chunks of varying sizes which were probably melted by a pulseray blast. Nothing to waste time on.	只有幾塊被脈衝射線熔成一團、大小不一的殘塊，八成是被燒熔的，沒什麼好浪費時間的。
Have some respect for the dying!	對快死的人放尊重點！
You see nothing that catches your eye.	沒有什麼東西特別引起你的注意。
This is another boring door.	又是一扇無聊的門。
I warned you, but noooooo! Did you listen?!	我都警告過你了，你就是不聽嘛！你到底有沒有在聽啊？！
You are startled by the sound of an alarm. It is followed by an urgent voice which warns that the Arcada has been boarded by unknown intruders. It abruptly ends.	一陣警報聲把你嚇了一跳。接著傳來一個急促的聲音，警告阿寇達號已被不明入侵者攻佔登艦。話還沒說完，聲音就突然中斷了。
Done.	完成。
You already possess that item.	你已經有那樣東西了。
The console consists of a screen, keyboard, and cartridge slot.  Atop it rests a Model DX Cartridge Retrieval Unit (currently bearing a cartridge).	這台主機由螢幕、鍵盤與資料匣插槽組成，上面擺著一台 DX 型資料匣擷取裝置（目前裝著一個資料匣）。
You see a man dressed in a lab coat. He appears to be ailing.	你看到一名穿著實驗袍的男子，他看起來病懨懨的。
Now that you have it you shouldn't be trying to get rid of it.	你都已經拿到了，就別想著要丟掉。
In his current condition, the man is not much of a conversationalist.	他現在這副模樣，可沒辦法跟你聊什麼天。
It is a Model DX Cartridge Retrieval Unit. It is used to retrieve cartridges. It is currently empty.	這是一台 DX 型資料匣擷取裝置，用來取出資料匣，目前裡面是空的。
It is a Model DX Cartridge Retrieval Unit. It is used to retrieve cartridges. It is currently holding a cartridge.	這是一台 DX 型資料匣擷取裝置，用來取出資料匣，目前裝著一個資料匣。
The slot appears to be about the size of a data cartridge. It is currently vacant.	這個插槽看起來剛好是資料匣的大小，目前是空的。
The alien observes his handiwork briefly, then leaves.	那名外星人打量了一下自己的傑作，接著就離開了。
This is one of the many hallways in the Arcada.	這是阿寇達號裡眾多走廊的其中一條。
You recognize this as your sanitation supply closet. You have spent many hours sleeping in it.	你認得這是你的清潔用品儲藏室，你在裡面睡掉了不少時間。
You have just stumbled into a small, dark, and very cluttered utility closet.  Many things fall, most of them landing on you. Doesn't say much for your cleaning prowess.	你一頭撞進一間又小又暗、亂七八糟的雜物間，一堆東西掉了下來，大半都砸在你身上。看來你的清潔功力也不怎麼樣。
You can't see anything in here because it is dark.	這裡一片漆黑，你什麼都看不見。
This is an elevator to one of the lower levels.	這是一部通往下層樓的電梯。
"Is it shipping yet? I want this thing shipping yesterday. I thought you said the graphics would be done last week?"	「東西出貨了沒？我恨不得它昨天就出貨。你不是說美術上星期就會弄完了嗎？」
The doors here are not particularly interesting.	這裡的門沒什麼特別的。
This is another one of your non-functional crewmates. It's a grisly sight.	這又是一位「故障」的組員，畫面實在慘不忍睹。
A quick search of the body turns up nothing.	你很快搜了一下屍體，什麼都沒找到。
That can't be done here.	這裡辦不到。
One can only wonder what your purpose for this action is. You can't undress the body. Allow him one last bit of dignity.	真不知道你在打什麼主意。你不能剝掉他的衣服，好歹留給他最後一點尊嚴吧。
Dave?  Dave's not here!	戴夫？戴夫不在這裡啦！
That is not seen easily from here.	從這裡看不太清楚。
Looking into the closet you see nothing but darkness.	你往儲藏室裡看去，只看到一片漆黑。
The door is closed, fool!	門是關著的啦，笨蛋！
This is the closed door to the closet you napped in.	這是你平常打盹的儲藏室的門，現在是關著的。
It looks dark in there.	裡面看起來黑漆漆的。
This door leads to the Data Archive.	這扇門通往資料庫。
You are in one of the Arcada's hallways near an elevator.	你正站在阿寇達號的一條走廊上，旁邊就是電梯。
This is an elevator to another level of the ship.	這是通往船艦其他樓層的電梯。
You search the body of your crewmate and find. . .	你搜索你組員的屍體，找到……
You take the keycard.	你拿走了磁卡。
You already have it.	你已經拿到了。
It appears to be one of your crewmates.  He is nonfunctional.	看來是你的一位組員，他已經「故障」了。
You have added to your pocket lint collection. How proud you must be.	你的口袋棉絮收藏又添了一件，你一定超驕傲的吧。
That can't be done from where you are standing.	你站在這個位置辦不到。
Unable to be tricked, you cleverly deduce that there are, indeed, walls in here. They are just your run-of-the-mill spacecraft interior walls.	你才不會被騙，很聰明地推斷出這裡真的有牆壁。就是那種再普通不過的太空船內牆。
Don't bother. Nothing of interest there.	別費心了，那裡沒什麼好看的。
You can see no elevator where you are.	你這個位置看不到電梯。
a keycard.	一張磁卡。
Nothing.	什麼都沒有。
This another hallway aboard the Arcada. There is an elevator door nearby.	這是阿寇達號上的另一條走廊，附近有一扇電梯門。
Sorry, due to your low security clearance you are not allowed access to this area.	抱歉，你的安全許可等級太低，不能進入這個區域。
This is an elevator to one of the other levels of the Arcada.	這是通往阿寇達號其他樓層的電梯。
That cannot be done from here.	在這裡辦不到。
There is no situation which calls for that action now.	現在沒有需要做那件事的情況。
The door is quite heavy and impossible for you to open. Your classification does not permit it.	這扇門相當沉重，你根本打不開。你的權限等級不允許。
A cursory glance indicates that this is a dead lab technician.	隨便一瞄就知道，這是一名死掉的實驗室技術員。
Your search of the body reveals nothing.	你搜遍屍體，什麼都沒找到。
This appears to be a non-breathing research scientist.	看起來是一名已經沒有呼吸的研究科學家。
Good grief, man! You are a bit twisted, I must say.?	天啊，老兄！我得說你這人還真有點變態。
There is not much left of the door. Someone has blown it away.	這扇門幾乎沒剩下什麼了，看來有人把它炸飛了。
You see another boring door.	你看到又一扇無聊的門。
Are you serious?	你是認真的嗎？
You are too far away to get a good look.	你離太遠了，看不清楚。
This is a section of one of the lower levels of Arcada.	這裡是阿寇達號下層的一部分。
The elevator leads to one of the upper levels.	這座電梯通往上面的某個樓層。
You see a body here. It is a formerly live crewmate.	你看到這裡有具屍體，曾經是一名活生生的組員。
Your search of the laser-riddled corpse reveals. . .	你搜索這具佈滿雷射傷痕的屍體，發現……
That can't be accomplished from here.	在這裡辦不到。
nothing.	什麼也沒有。
Taken.	拿走了。
Nothing interesting is to be seen there.	那裡沒什麼特別好看的。
It is a device designed to assist you in adjusting to a change in elevation.	這玩意兒的設計是用來幫你應付高度上的變化。
You are in the central control area of the Arcada. The reactor domes pulsate irregularly, as if they had been tampered with. This does not look good. Through the window just above the control console, you can see down into the vehicle bay below.	你正站在阿寇達號的中央控制區。反應爐的圓頂脈動得毫無規律，好像被人動過手腳，這下情況不妙。從控制台正上方的窗戶望出去，可以看到下方的載具艙。
This panel consists of status indicators which don't mean diddly to you.	這面板上全是狀態指示燈，對你來說根本有看沒有懂。
On the console by the window are two buttons marked "OPEN BAY DOOR" and "CLOSE BAY DOOR".	窗邊控制台上有兩個按鈕，分別寫著「打開艙門」和「關閉艙門」。
You can't see it from here.	這裡看不到那東西。
You search the damaged body of your fellow crewman. You get too close a glimpse of the injury. In the pockets you find...	你搜索同僚那具殘破的遺體，那傷口的畫面看得有點太清楚了。口袋裡你找到……
You don't see that here.	這裡沒看到那東西。
Looking through the window you can see down into the vehicle bay.	從窗戶望下去，可以看到載具艙。
Looking through the window you can see down into the vehicle bay. The rather massive bay doors are open.	從窗戶望下去，可以看到載具艙，那扇碩大的艙門是開著的。
Here lies another heap of fried humanity. The attackers have proven to be very thorough thus far.  There's something to be said for not being the hero type, you rationalize.	這裡又躺著一具烤焦的人肉。看來攻擊者做事相當徹底。你心裡想，不當英雄好像也不是壞事。
Nothing happens.	什麼事都沒發生。
Nothing of interest there.	那裡沒什麼好留意的。
The bay door can't be closed while the pod is up.	逃生艙的平台還升著的時候，艙門沒辦法關上。
Your limited view shows that there is a large vehicle bay below.	你視野有限，只能看出下面是個很大的載具艙。
On the floor are three domes, covering closed access tubes, and one badly damaged body.	地上有三個圓頂，蓋著關閉的通道管，還有一具傷得很重的遺體。
The domes cover access tubes to the Arcada's power plant. They are bolted closed since they seldom require maintenance.	這些圓頂蓋住通往阿寇達號動力廠的通道管，因為很少需要維修，都用螺栓鎖死了。
This is one of the mid-level decks of the Arcada	這裡是阿寇達號的中層甲板之一
The elevator goes to another level. You have never used it due to its restricted access status.	這座電梯通往另一層樓。因為權限受限，你從來沒用過它。
You slide the keycard into its slot. You hear an audible click. You take the keycard back.	你把磁卡插進插槽，聽到「喀」一聲，接著把磁卡收回來。
You are too far away.	你離得太遠了。
You don't have that.	你沒有那東西。
The walls are all nondescript except for a keycard unit near the elevator. It controls access to the level below.	牆壁上沒什麼特別的，只有電梯旁一個磁卡讀取器，控制通往樓下的權限。
One of your crewmates lies at your feet. He is non-functional.	你的一位同僚倒在你腳邊，已經不能動了。
%w1 %w2? I'm sorry, %s1. You can't do that. I question your mental fitness.	%w1 %w2？抱歉，%s1，你辦不到那件事。我開始懷疑你的精神狀態了。
You search the corpse and turn up. . .	你搜索屍體，翻出了……
The keycard unit is a small, sturdy box with a slot. Just above it is a display light which is not currently on.	磁卡讀取器是個堅固的小盒子，上面有個插槽。正上方有個顯示燈，目前沒亮。
The keycard unit is a small, sturdy box with a slot. Just above it is a display light which is currently on.	磁卡讀取器是個堅固的小盒子，上面有個插槽。正上方有個顯示燈，目前是亮著的。
There is no keycard to get.	沒有磁卡可以拿。
Alas, it does not open. You have adorned the door with a small circle of nose grease. Were you Karl Malden, it could have gotten ugly.	唉，門還是沒開。你只在門上印了一圈鼻油印。要是你的鼻子像 Karl Malden 那麼大，情況恐怕會很難看。
This is the cavernous Vehicle Bay.	這裡是空曠的載具艙。
This is one of the Arcada's escape pods. You vaguely remember receiving some orientation on these when you joined the crew.	這是阿寇達號的逃生艙之一。你隱約記得剛加入船員時，有接受過這方面的講習。
       Oops!      Forgot my suit.	      糟了！      忘記穿太空裝了。
In the middle of the vehicle bay is a deep cargo shaft.	載具艙中央有一道很深的貨運豎井。
Sorry, %s1.  You can't enter the Escape Pod when the Vehicle Bay doors are closed.	抱歉，%s1，載具艙門關著的時候，你沒辦法進入逃生艙。
Looking at the console you see a button marked "Platform". There are also some gauges which don't interest you.	看著控制台，你看到一個寫著「平台」的按鈕，還有一些你沒興趣理會的儀表。
The Vehicle Bay Door is quite large.	載具艙門相當龐大。
The walls prove to be uninteresting.	牆壁沒什麼好看的。
The massive bay doors are tightly sealed.	這幾扇巨大的艙門封得死死的。
Beyond the yawning doors lies the serenity of deep space.	敞開的艙門外，是一片深邃太空的寧靜。
You see nothing special down there.	你在下面沒看到什麼特別的東西。
It is dark down in the shaft but you can make out the silhouette of one of the Arcada's escape pods on a platform below.	豎井裡面很暗，但你能看出下面平台上有一艘阿寇達號逃生艙的輪廓。
You cannot perform that act from here.	你在這裡沒辦法做那件事。
There is nothing like that in sight.	眼前沒有那種東西。
No can do, bud.	辦不到啦，老兄。
For safety reasons the platform will not function with the bay doors closed.	基於安全考量，艙門關著的時候平台沒辦法運作。
The bay door is open. The airlock door opens automatically.	艙門是開著的，氣密艙門會自動開啟。
The bay door is not opened from this room. The airlock door opens automatically.	艙門沒辦法從這個房間打開，氣密艙門會自動開啟。
There sure are a lot of them.	還真是不少呢。
You see stars to infinity.	你看到滿天繁星，一望無際。
The pod door is already open.	逃生艙門已經開著了。
The escape pod moves slowly out	逃生艙緩緩滑了出去，
of the vehicle bay and into space.	離開了載具艙，飛向太空。
There is now an escape pod here.	這裡現在有一個逃生艙。
There is no longer an escape pod here.	這裡已經沒有逃生艙了。
You see a button marked "Platform".	你看到一個寫著「平台」的按鈕。
Congratulations, %s1.  You have found your way off the Arcada and escaped obvious danger.  Unfortunately, you will never be seen or heard from again as you float gracefully through the heavens for eternity.	恭喜你，%s1。你順利逃出了阿寇達號，也躲過了明顯的危險——只不過，你就這樣優雅地漂浮在宇宙裡直到永遠，再也沒人會看到你、聽到你的消息了。
You peer in through the open door but are unable to make out any detail.	你透過開著的門往裡瞧，但看不清楚裡面的細節。
This is the Flight Prep room of the Arcada. As you can see, there is a sign on the back wall as well as two closet doors and two buttons.	這裡是阿寇達號的飛行準備室。你可以看到後牆上有個標示牌，還有兩扇衣櫃門和兩個按鈕。
The walls look pretty much the same as the others. There is a sign on the back wall. Beneath that is a right button and a left button.	這裡的牆壁跟其他地方差不多。後牆上有個標示牌，下面是左右兩個按鈕。
This is the inside airlock door.	這是氣密艙的內側艙門。
That is not here to be seen.	這裡看不到那東西。
The closet appears to be empty.	衣櫃看起來是空的。
This is the elevator you came into this room from.	這是你進到這房間時搭的電梯。
There are two buttons here, a left button and a right button.	這裡有兩個按鈕，一個在左邊，一個在右邊。
There are two doors here which are controlled by buttons.	這裡有兩扇門，都是靠按鈕控制的。
The console is adorned with many status indicators. One button on the right is marked "Airlock".	控制台上滿是狀態指示燈，右邊有個按鈕寫著「氣密艙」。
This is a standard issue flight suit designed to protect the wearer from the unique conditions of space travel.	這是制式配發的太空裝，設計來保護穿戴者應付太空旅行的特殊環境。
On the floor of the closet sits some sort of gadget. It looks electronic.	衣櫃地板上放著某種小裝置，看起來像是電子產品。
Your sight isn't what it once was. Maybe mom and dad weren't kidding. Anyway, you'll have to get closer.	你的視力大不如前了。搞不好爸媽當年說的是真的。總之，你得再靠近一點看。
The sign on the wall suggests that the bay doors are not currently open.	牆上的標示牌顯示，艙門目前沒有開著。
The sign on the wall warns that the bay doors are currently open.	牆上的標示牌警告，艙門目前是開著的。
You see a flight suit hanging in the closet.	你看到衣櫃裡掛著一套太空裝。
There is a closed closet door here.	這裡有一扇關著的衣櫃門。
It looks like an electrical gadget of some sort.	看起來像是某種電子小裝置。
You are not close enough.	你離得不夠近。
The closet is not open.	衣櫃還沒打開。
You won't be needing that suit anymore.	你已經用不到那套裝備了。
There is nothing here to get.	這裡沒有東西可以拿。
That can't be done from here.	在這裡沒辦法做那件事。
There are no buttons here.	這裡沒有按鈕。
Nothing done.	什麼都沒做成。
The door is open and there is no need to close it. Pressing matters await.	門已經開著，不用關。還有更要緊的事等著你。
You already have it on.	你已經穿上了。
The doors are controlled by buttons. You must push the appropriate one.	這些門是靠按鈕控制的，你得按對按鈕才行。
The elevator door opens and closes automatically.	電梯門會自動開關。
You are not close enough to get a good look.	你離得不夠近，看不清楚。
Your old uniform hangs in the closet.	你的舊制服掛在衣櫃裡。
The elevator door opens automatically and the others open by pushing buttons.	電梯門會自動開，其他門則要按按鈕才會開。
This is not a good place to do that from.	這裡不是做那件事的好地方。
You'll need to get closer to see that.	你得靠近一點才看得到。
You'll have to be more specific. The right closet or the left closet?	講清楚一點。是右邊的衣櫃，還是左邊的？
You need to get closer.	你得靠近一點。
You'll have to be more specific about which button you wish to choose.	講清楚一點，你要選哪個按鈕？
You see one button marked "Airlock".	你看到一個寫著「氣密艙」的按鈕。
Your old uniform hangs limply in the closet.	你的舊制服軟趴趴地掛在衣櫃裡。
You are sitting in the pilot seat of the escape pod facing toward the window. There is a dark console before you and seat belt straps at your side. Confused as to what you should do, you wish you would have paid more attention during crew orientation.	你坐在逃生艙的駕駛座上，面朝窗戶。眼前是一個暗著的控制台，身旁則是安全帶。你一頭霧水，不知道該做什麼，真希望當初船員講習有認真聽。
Your effort to power-down the pod was wisely overridden by the on-board computer.	你想關掉逃生艙電源，還好被船上電腦明智地擋了下來。
The screen is dark.	螢幕是暗的。
Escape Pod Systems Activated	逃生艙系統已啟動
Ready For Instructions	等待指令輸入
Emergency Program Initiated	緊急程式已啟動
Pull Throttle To Execute	拉下節流閥以執行
Launch Sequence	發射程序
